step,file,block,kinetic_energy,elastic_strain_energy
0,bloc_friction_test1_0000.pvtu,0,0.0,0.0
1,bloc_friction_test1_0001.pvtu,0,30600.119253984474,3700396.717412937
2,bloc_friction_test1_0002.pvtu,0,3026337416.9112306,3057217543.0654693
3,bloc_friction_test1_0003.pvtu,0,6170801004.432289,6077871233.33208
4,bloc_friction_test1_0004.pvtu,0,9315321490.689688,9017865914.916222
5,bloc_friction_test1_0005.pvtu,0,12459345140.897715,11877297944.96036
6,bloc_friction_test1_0006.pvtu,0,18870250029.10601,11386835974.289398
7,bloc_friction_test1_0007.pvtu,0,21513627373.913322,14192924739.95144
8,bloc_friction_test1_0008.pvtu,0,19169852469.848137,22184958289.119892
9,bloc_friction_test1_0009.pvtu,0,16245735393.195364,30470198647.617905
10,bloc_friction_test1_0010.pvtu,0,9175863165.050621,40029907531.750404
11,bloc_friction_test1_0011.pvtu,0,3445269629.767063,43711772154.19582
12,bloc_friction_test1_0012.pvtu,0,6788590987.238531,56228901737.567535
13,bloc_friction_test1_0013.pvtu,0,9859623892.76063,68809520013.4125
14,bloc_friction_test1_0014.pvtu,0,11737559118.346203,82887180151.97499
15,bloc_friction_test1_0015.pvtu,0,14738990600.752693,96223362665.59627
16,bloc_friction_test1_0016.pvtu,0,16304101856.38808,111531817904.90004
17,bloc_friction_test1_0017.pvtu,0,17036190311.73637,128298219734.2447
18,bloc_friction_test1_0018.pvtu,0,15752809016.059086,147279670825.79367
19,bloc_friction_test1_0019.pvtu,0,7269431847.847575,169171195118.8891
20,bloc_friction_test1_0020.pvtu,0,5018439558.438388,187288235986.59625
21,bloc_friction_test1_0021.pvtu,0,8202735570.395857,208963819836.53607
22,bloc_friction_test1_0022.pvtu,0,14760163275.540762,214979655909.68134
23,bloc_friction_test1_0023.pvtu,0,19171708003.672173,223689844544.14432
24,bloc_friction_test1_0024.pvtu,0,28960654044.000187,226720489895.90762
25,bloc_friction_test1_0025.pvtu,0,33835722698.583767,234300038909.2661
26,bloc_friction_test1_0026.pvtu,0,40815973263.23432,239893424183.71924
27,bloc_friction_test1_0027.pvtu,0,45861408354.882805,246923298245.54285
28,bloc_friction_test1_0028.pvtu,0,52456747525.24889,251811408207.52884
29,bloc_friction_test1_0029.pvtu,0,57721613140.2977,257376454399.92712
30,bloc_friction_test1_0030.pvtu,0,59517151465.11108,261925462970.55112
31,bloc_friction_test1_0031.pvtu,0,57662863568.67641,267255565356.0953
32,bloc_friction_test1_0032.pvtu,0,53498414049.9494,272103322886.59244
33,bloc_friction_test1_0033.pvtu,0,56414227315.24475,269415477039.8539
34,bloc_friction_test1_0034.pvtu,0,53746812926.979965,273053582647.0781
35,bloc_friction_test1_0035.pvtu,0,55088478245.63951,272206837772.47266
36,bloc_friction_test1_0036.pvtu,0,53353983846.72004,274501648952.18683
37,bloc_friction_test1_0037.pvtu,0,57322317002.33502,270981984418.5155
38,bloc_friction_test1_0038.pvtu,0,57468279978.36161,275020243408.42535
39,bloc_friction_test1_0039.pvtu,0,61819131887.04133,280224674019.9178
40,bloc_friction_test1_0040.pvtu,0,65117654481.94743,283589522524.48956
