step,file,block,n_points,n_cells,displacement.c0.mean,displacement.c0.min,displacement.c0.max,displacement.c1.mean,displacement.c1.min,displacement.c1.max,displacement.c2.mean,displacement.c2.min,displacement.c2.max,displacement.norm.mean,displacement.norm.min,displacement.norm.max,velocity.c0.mean,velocity.c0.min,velocity.c0.max,velocity.c1.mean,velocity.c1.min,velocity.c1.max,velocity.c2.mean,velocity.c2.min,velocity.c2.max,velocity.norm.mean,velocity.norm.min,velocity.norm.max,stress.c0.mean,stress.c0.min,stress.c0.max,stress.c1.mean,stress.c1.min,stress.c1.max,stress.c2.mean,stress.c2.min,stress.c2.max,stress.c3.mean,stress.c3.min,stress.c3.max,stress.norm.mean,stress.norm.min,stress.norm.max,stress.xx.mean,stress.yy.mean,stress.xy.mean,stress.zz_or_extra.mean
0,bloc_friction_test1_0000.pvtu,0,8365,16370,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,bloc_friction_test1_0000.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,bloc_friction_test1_0001.pvtu,0,8365,16370,0.0,0.0,0.0,-7.232516437537358e-06,-0.0005,0.0,0.0,0.0,0.0,7.232516437537358e-06,0.0,0.0005,-8.753957347310065e-07,-0.6639904582584432,0.6604796177638064,-0.04003403952514999,-4.7399605033985885,0.0,0.0,0.0,0.0,0.04006365259513821,0.0,4.740076683525393,-10370293.764130058,-941535304.5360255,0.0,890.9426397254193,-147817951.53780293,149633147.22390124,890.9426397254193,-147817951.53780293,149633147.22390124,-24197352.11630347,-2196915710.5840597,0.0,26330930.69712396,0.0,2390173083.5022826,-10370293.764130058,890.9426397254193,890.9426397254193,-24197352.11630347
1,bloc_friction_test1_0001.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,bloc_friction_test1_0002.pvtu,0,8365,16370,3.9824267532206973e-07,-0.014197488399864492,0.014421122495510117,-0.006114664155722156,-0.05050000000000004,-1.371973948140346e-79,0.0,0.0,0.0,0.006132335644968337,1.3719742115260758e-79,0.05050000000000004,0.010409524671028934,-149.78057957944108,153.40851815489378,-49.018341854349494,-291.1299063675885,0.0,0.0,0.0,0.0,49.29159172387637,0.0,319.62042347993525,-948035088.7250394,-5465574678.500221,1935583078.7113886,144968.74987884305,-3340630760.994545,3392893572.244288,144968.74987884305,-3340630760.994545,3392893572.244288,-2388544123.345321,-15772876286.851196,-3.047288616229874e-65,2583060584.843857,3.3154233213558444e-65,16532450621.201225,-948035088.7250394,144968.74987884305,144968.74987884305,-2388544123.345321
2,bloc_friction_test1_0002.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,bloc_friction_test1_0003.pvtu,0,8365,16370,2.04177168259797e-06,-0.029036213684400597,0.028853371014697857,-0.02337582542447762,-0.10050000000000008,-8.71164143257988e-37,0.0,0.0,0.0,0.023506844141478193,8.711641503148278e-37,0.10050000000000008,-0.007066736998092363,-152.90519454622324,154.11623551614662,-98.48070345596865,-297.7553732304408,0.0,0.0,0.0,0.0,99.5180108741929,0.0,334.15246219566615,-1703074213.515491,-5954973514.38824,2087733417.9108872,-210880.94616115713,-4142875752.605664,4206437208.716118,-210880.94616115713,-4142875752.605664,4206437208.716118,-4673571753.225584,-18370767365.365986,-2.5170852823678978e-23,5023159948.79961,2.7389449607373667e-23,19396155909.991417,-1703074213.515491,-210880.94616115713,-210880.94616115713,-4673571753.225584
3,bloc_friction_test1_0003.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,bloc_friction_test1_0004.pvtu,0,8365,16370,-1.114452324628361e-06,-0.04347330975076195,0.04335466392847624,-0.051621891146506296,-0.1505000000000001,-3.4560435942052663e-16,0.0,0.0,0.0,0.05204601832402567,3.456046011402843e-16,0.1505000000000001,-0.018294898985713695,-154.20746571850947,154.89918607782099,-147.11439286806106,-301.23756106294616,0.0,0.0,0.0,0.0,149.36665164495503,0.0,338.7297241795051,-2279960085.5018334,-6468036827.231632,1894829598.7579947,-287064.70679091243,-4876147294.667269,4837439363.787034,-287064.70679091243,-4876147294.667269,4837439363.787034,-6874867770.550982,-20604765641.9152,-0.0027855515955507613,7342687148.527628,0.0029604752301740016,21761777249.92246,-2279960085.5018334,-287064.70679091243,-287064.70679091243,-6874867770.550982
4,bloc_friction_test1_0004.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,bloc_friction_test1_0005.pvtu,0,8365,16370,-4.566740699218906e-06,-0.05787669105315739,0.05789577892350134,-0.09069919453381946,-0.20050000000000015,-1.4435754065974738e-05,0.0,0.0,0.0,0.09167998797315766,1.4595880189618594e-05,0.20050000000000015,-0.016202161759238658,-159.25051413093297,158.0331722204141,-195.19193386970414,-302.1579591462512,0.0,0.0,0.0,0.0,199.14447110032052,0.0,340.4923122329685,-2677844830.29025,-7153548249.514792,2087587544.7365236,-295509.6998496063,-5133864338.812231,5248506940.8736725,-295509.6998496063,-5133864338.812231,5248506940.8736725,-9001730917.271893,-23173963399.56293,-17535292.44270111,9550836586.669579,18710172.4966691,24381050588.71883,-2677844830.29025,-295509.6998496063,-295509.6998496063,-9001730917.271893
5,bloc_friction_test1_0005.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,bloc_friction_test1_0006.pvtu,0,8365,16370,-6.34328919576101e-06,-0.07237322357268214,0.07235221548661692,-0.1407910349325434,-0.25050000000000017,-0.04088876736994901,0.0,0.0,0.0,0.14265634643138925,0.0415522682565457,0.25050000000000017,-0.0038167245046048298,-158.2538960057231,158.99762437008613,-244.70714703263013,-495.56398978193874,0.0,0.0,0.0,0.0,250.27444260781758,0.0,495.56411816935713,-1789892039.3203888,-7721582083.105607,3422843840.4719357,-284050.0202535826,-5282686824.679646,5548383687.121036,-284050.0202535826,-5282686824.679646,5548383687.121036,-8347115139.274374,-24681649457.500793,5663020825.636054,9056352592.151089,156393884.0989651,25939861514.870205,-1789892039.3203888,-284050.0202535826,-284050.0202535826,-8347115139.274374
6,bloc_friction_test1_0006.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,bloc_friction_test1_0007.pvtu,0,8365,16370,-8.381677279971918e-06,-0.08677349817445656,0.08678187560279844,-0.19828921147626402,-0.3005000000000002,-0.0987331974467885,0.0,0.0,0.0,0.20111765365017079,0.0992156649602562,0.3005000000000002,0.0040759505798367455,-273.63208339918674,288.5115650564911,-239.85245088250676,-547.1052780103098,361.90784616623034,0.0,0.0,0.0,257.024725991515,0.0,566.2116353871769,-1327117308.9538963,-16213692563.57986,6725311794.901506,-133278.65694231464,-5867198310.936265,5686282092.34937,-133278.65694231464,-5867198310.936265,5686282092.34937,-8379556195.050934,-27115559217.398514,4128208946.384977,9441021825.967262,327728990.4321357,31443126863.80897,-1327117308.9538963,-133278.65694231464,-133278.65694231464,-8379556195.050934
7,bloc_friction_test1_0007.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,bloc_friction_test1_0008.pvtu,0,8365,16370,-6.663777659550043e-06,-0.09211718475675126,0.09208623608311531,-0.24789520004837834,-0.35050000000000026,-0.0987202941991628,0.0,0.0,0.0,0.2517754500656189,0.09938379967153133,0.35050000000000026,0.014793553875199227,-373.5799980364399,369.8098602112172,-195.50787641498457,-536.1297775194282,311.1941075006873,0.0,0.0,0.0,230.88332689205475,0.0,539.0782788993093,-1719563032.9899702,-12469494339.117695,6023652749.323728,-1148661.274969419,-6096321181.176445,5972257997.202878,-1148661.274969419,-6096321181.176445,5972257997.202878,-10516776924.597431,-30897770113.527145,3623970426.8758864,11703647115.830067,474282524.05598766,33196882045.49931,-1719563032.9899702,-1148661.274969419,-1148661.274969419,-10516776924.597431
8,bloc_friction_test1_0008.pvtu,1,1130,1928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
